wlen 	 newgal_spectrum 
  4557.064 	      0.029
  4557.817 	      0.030
  4558.570 	      0.021
  4559.323 	      0.020
  4560.076 	      0.044
  4560.830 	      0.044
  4561.584 	      0.014
  4562.337 	      0.011
  4563.091 	      0.015
  4563.845 	      0.019
  4564.599 	      0.033
  4565.354 	      0.040
  4566.108 	      0.047
  4566.863 	      0.053
  4567.617 	      0.046
  4568.372 	      0.021
  4569.127 	      0.066
  4569.882 	      0.045
  4570.637 	      0.037
  4571.392 	      0.038
  4572.148 	      0.043
  4572.903 	      0.042
  4573.659 	      0.011
  4574.415 	      0.027
  4575.170 	      0.034
  4575.926 	      0.020
  4576.683 	     -0.018
  4577.439 	     -0.040
  4578.195 	      0.001
  4578.952 	      0.031
  4579.708 	      0.030
  4580.465 	      0.004
  4581.222 	     -0.027
  4581.979 	     -0.011
  4582.736 	     -0.018
  4583.493 	      0.001
  4584.251 	      0.017
  4585.008 	      0.016
  4585.766 	     -0.006
  4586.524 	     -0.010
  4587.282 	      0.036
  4588.040 	      0.043
  4588.798 	      0.029
  4589.556 	      0.018
  4590.314 	      0.019
  4591.073 	      0.026
  4591.832 	      0.028
  4592.590 	      0.015
  4593.349 	      0.002
  4594.108 	      0.017
  4594.867 	      0.021
  4595.627 	     -0.000
  4596.386 	      0.012
  4597.146 	      0.034
  4597.905 	      0.044
  4598.665 	      0.016
  4599.425 	     -0.012
  4600.185 	     -0.002
  4600.945 	      0.011
  4601.705 	      0.020
  4602.466 	      0.030
  4603.226 	      0.061
  4603.987 	      0.089
  4604.748 	      0.071
  4605.508 	      0.049
  4606.269 	      0.038
  4607.031 	      0.044
  4607.792 	      0.053
  4608.553 	      0.042
  4609.315 	      0.042
  4610.076 	      0.035
  4610.838 	      0.022
  4611.600 	      0.014
  4612.362 	      0.018
  4613.124 	      0.008
  4613.887 	      0.022
  4614.649 	      0.039
  4615.412 	      0.048
  4616.174 	      0.043
  4616.937 	      0.037
  4617.700 	      0.024
  4618.463 	      0.028
  4619.226 	      0.034
  4619.989 	      0.034
  4620.753 	      0.030
  4621.516 	      0.049
  4622.280 	      0.042
  4623.044 	      0.033
  4623.808 	      0.034
  4624.572 	      0.046
  4625.336 	      0.061
  4626.100 	     -0.008
  4626.865 	     -0.001
  4627.629 	     -0.002
  4628.394 	     -0.017
  4629.159 	     -0.036
  4629.924 	     -0.029
  4630.689 	      0.002
  4631.454 	     -0.016
  4632.219 	     -0.011
  4632.985 	      0.010
  4633.750 	      0.034
  4634.516 	      0.036
  4635.282 	      0.053
  4636.048 	      0.049
  4636.814 	      0.044
  4637.580 	      0.034
  4638.346 	      0.015
  4639.113 	     -0.027
  4639.879 	     -0.004
  4640.646 	     -0.001
  4641.413 	      0.005
  4642.180 	      0.008
  4642.947 	      0.007
  4643.714 	      0.007
  4644.481 	     -0.019
  4645.249 	     -0.019
  4646.016 	     -0.018
  4646.784 	     -0.008
  4647.552 	      0.010
  4648.320 	      0.006
  4649.088 	     -0.005
  4649.856 	     -0.000
  4650.625 	     -0.002
  4651.393 	     -0.002
  4652.162 	      0.004
  4652.930 	      0.017
  4653.699 	      0.020
  4654.468 	      0.017
  4655.237 	      0.023
  4656.007 	      0.036
  4656.776 	      0.051
  4657.546 	      0.066
  4658.315 	      0.062
  4659.085 	      0.055
  4659.855 	      0.051
  4660.625 	      0.037
  4661.395 	      0.023
  4662.165 	      0.039
  4662.936 	      0.059
  4663.706 	      0.037
  4664.477 	      0.033
  4665.247 	      0.038
  4666.018 	      0.033
  4666.789 	      0.002
  4667.561 	      0.006
  4668.332 	     -0.026
  4669.103 	     -0.031
  4669.875 	     -0.004
  4670.646 	      0.040
  4671.418 	      0.082
  4672.190 	      0.099
  4672.962 	      0.070
  4673.734 	      0.024
  4674.507 	     -0.006
  4675.279 	      0.001
  4676.052 	      0.040
  4676.824 	      0.048
  4677.597 	      0.029
  4678.370 	      0.040
  4679.143 	      0.046
  4679.916 	      0.040
  4680.690 	      0.029
  4681.463 	      0.028
  4682.237 	     -0.006
  4683.010 	     -0.009
  4683.784 	      0.004
  4684.558 	     -0.000
  4685.332 	     -0.017
  4686.106 	     -0.017
  4686.881 	     -0.012
  4687.655 	     -0.031
  4688.430 	     -0.014
  4689.205 	      0.002
  4689.979 	      0.010
  4690.754 	      0.010
  4691.529 	     -0.021
  4692.305 	     -0.013
  4693.080 	     -0.007
  4693.856 	      0.005
  4694.631 	      0.010
  4695.407 	      0.002
  4696.183 	     -0.005
  4696.959 	     -0.014
  4697.735 	     -0.015
  4698.511 	      0.011
  4699.288 	      0.004
  4700.064 	     -0.027
  4700.841 	     -0.028
  4701.618 	      0.009
  4702.394 	     -0.003
  4703.171 	     -0.001
  4703.949 	      0.009
  4704.726 	      0.021
  4705.503 	      0.029
  4706.281 	      0.034
  4707.059 	      0.030
  4707.836 	      0.027
  4708.614 	      0.036
  4709.392 	      0.038
  4710.171 	      0.029
  4710.949 	      0.014
  4711.727 	      0.008
  4712.506 	      0.030
  4713.285 	      0.042
  4714.063 	      0.027
  4714.842 	     -0.002
  4715.621 	     -0.026
  4716.401 	     -0.036
  4717.180 	     -0.028
  4717.960 	     -0.027
  4718.739 	     -0.024
  4719.519 	     -0.011
  4720.299 	      0.008
  4721.079 	      0.022
  4721.859 	     -0.011
  4722.639 	     -0.019
  4723.419 	     -0.004
  4724.200 	      0.006
  4724.981 	     -0.000
  4725.761 	     -0.015
  4726.542 	     -0.015
  4727.323 	     -0.007
  4728.104 	      0.009
  4728.886 	      0.035
  4729.667 	      0.042
  4730.449 	      0.029
  4731.230 	      0.010
  4732.012 	      0.007
  4732.794 	      0.010
  4733.576 	      0.008
  4734.358 	      0.029
  4735.141 	      0.049
  4735.923 	      0.055
  4736.706 	      0.050
  4737.488 	      0.010
  4738.271 	     -0.024
  4739.054 	      0.003
  4739.837 	      0.027
  4740.620 	      0.044
  4741.404 	      0.051
  4742.187 	      0.029
  4742.971 	     -0.016
  4743.755 	      0.013
  4744.538 	      0.018
  4745.322 	      0.025
  4746.107 	      0.022
  4746.891 	     -0.003
  4747.675 	     -0.023
  4748.460 	     -0.020
  4749.244 	      0.007
  4750.029 	      0.004
  4750.814 	     -0.010
  4751.599 	     -0.017
  4752.384 	     -0.013
  4753.170 	     -0.007
  4753.955 	     -0.019
  4754.741 	     -0.007
  4755.526 	     -0.011
  4756.312 	     -0.020
  4757.098 	     -0.023
  4757.884 	     -0.013
  4758.670 	     -0.014
  4759.457 	      0.003
  4760.243 	     -0.006
  4761.030 	     -0.003
  4761.816 	      0.011
  4762.603 	      0.017
  4763.390 	     -0.004
  4764.177 	     -0.031
  4764.965 	     -0.029
  4765.752 	     -0.028
  4766.539 	     -0.013
  4767.327 	      0.010
  4768.115 	      0.029
  4768.903 	      0.034
  4769.691 	      0.016
  4770.479 	     -0.025
  4771.267 	     -0.023
  4772.056 	     -0.008
  4772.844 	     -0.004
  4773.633 	     -0.010
  4774.422 	     -0.000
  4775.211 	      0.022
  4776.000 	      0.018
  4776.789 	     -0.004
  4777.578 	     -0.017
  4778.368 	     -0.014
  4779.157 	     -0.003
  4779.947 	     -0.000
  4780.737 	     -0.004
  4781.527 	     -0.000
  4782.317 	     -0.003
  4783.107 	     -0.009
  4783.897 	     -0.020
  4784.688 	     -0.031
  4785.479 	     -0.032
  4786.269 	     -0.023
  4787.060 	     -0.027
  4787.851 	     -0.020
  4788.642 	     -0.003
  4789.434 	      0.015
  4790.225 	      0.030
  4791.017 	      0.041
  4791.808 	      0.018
  4792.600 	      0.023
  4793.392 	      0.050
  4794.184 	      0.046
  4794.976 	      0.021
  4795.769 	     -0.007
  4796.561 	     -0.021
  4797.354 	      0.001
  4798.146 	     -0.009
  4798.939 	      0.011
  4799.732 	      0.024
  4800.525 	      0.008
  4801.319 	     -0.011
  4802.112 	     -0.013
  4802.906 	     -0.019
  4803.699 	     -0.010
  4804.493 	      0.015
  4805.287 	      0.007
  4806.081 	     -0.008
  4806.875 	     -0.016
  4807.669 	     -0.012
  4808.464 	      0.004
  4809.258 	      0.016
  4810.053 	     -0.059
  4810.848 	     -0.076
  4811.643 	     -0.063
  4812.438 	     -0.030
  4813.233 	      0.003
  4814.028 	      0.019
  4814.824 	     -0.005
  4815.620 	     -0.056
  4816.415 	     -0.036
  4817.211 	     -0.012
  4818.007 	      0.005
  4818.803 	      0.022
  4819.600 	      0.036
  4820.396 	      0.027
  4821.192 	      0.023
  4821.989 	      0.026
  4822.786 	      0.036
  4823.583 	      0.017
  4824.380 	     -0.005
  4825.177 	     -0.006
  4825.974 	      0.016
  4826.772 	      0.023
  4827.569 	      0.028
  4828.367 	      0.035
  4829.165 	      0.043
  4829.963 	      0.037
  4830.761 	      0.019
  4831.559 	      0.002
  4832.358 	     -0.001
  4833.156 	      0.014
  4833.955 	      0.021
  4834.754 	      0.015
  4835.553 	      0.013
  4836.352 	      0.017
  4837.151 	      0.010
  4837.950 	     -0.021
  4838.750 	     -0.031
  4839.549 	     -0.016
  4840.349 	     -0.022
  4841.149 	     -0.027
  4841.949 	     -0.015
  4842.749 	      0.007
  4843.549 	      0.020
  4844.349 	      0.015
  4845.150 	      0.022
  4845.950 	      0.042
  4846.751 	      0.039
  4847.552 	      0.041
  4848.353 	      0.041
  4849.154 	      0.033
  4849.955 	      0.022
  4850.757 	      0.025
  4851.558 	      0.042
  4852.360 	      0.037
  4853.162 	      0.040
  4853.964 	      0.040
  4854.766 	      0.028
  4855.568 	      0.013
  4856.370 	      0.006
  4857.173 	      0.004
  4857.976 	     -0.022
  4858.778 	     -0.022
  4859.581 	      0.003
  4860.384 	      0.021
  4861.187 	      0.010
  4861.991 	     -0.007
  4862.794 	      0.010
  4863.598 	      0.037
  4864.401 	     -0.007
  4865.205 	     -0.000
  4866.009 	     -0.014
  4866.813 	     -0.003
  4867.617 	      0.010
  4868.422 	      0.003
  4869.226 	     -0.020
  4870.031 	     -0.038
  4870.835 	     -0.045
  4871.640 	     -0.027
  4872.445 	     -0.021
  4873.250 	     -0.016
  4874.056 	     -0.017
  4874.861 	     -0.037
  4875.667 	     -0.068
  4876.472 	     -0.056
  4877.278 	     -0.080
  4878.084 	     -0.055
  4878.890 	      0.016
  4879.696 	      0.032
  4880.503 	      0.012
  4881.309 	     -0.010
  4882.116 	     -0.019
  4882.922 	     -0.021
  4883.729 	     -0.016
  4884.536 	     -0.034
  4885.343 	     -0.026
  4886.151 	     -0.013
  4886.958 	      0.020
  4887.766 	      0.048
  4888.573 	      0.033
  4889.381 	      0.005
  4890.189 	     -0.005
  4890.997 	     -0.013
  4891.805 	     -0.023
  4892.613 	     -0.024
  4893.422 	     -0.030
  4894.231 	     -0.040
  4895.039 	     -0.044
  4895.848 	     -0.031
  4896.657 	     -0.016
  4897.466 	     -0.034
  4898.276 	     -0.031
  4899.085 	     -0.011
  4899.894 	      0.005
  4900.704 	      0.001
  4901.514 	     -0.020
  4902.324 	     -0.035
  4903.134 	     -0.022
  4903.944 	     -0.001
  4904.754 	     -0.001
  4905.565 	     -0.030
  4906.376 	     -0.021
  4907.186 	      0.070
  4907.997 	      0.302
  4908.808 	      0.714
  4909.619 	      1.260
  4910.431 	      1.807
  4911.242 	      2.102
  4912.054 	      2.094
  4912.865 	      1.785
  4913.677 	      1.260
  4914.489 	      0.704
  4915.301 	      0.292
  4916.113 	      0.090
  4916.926 	      0.032
  4917.738 	      0.006
  4918.551 	     -0.018
  4919.363 	     -0.025
  4920.176 	     -0.023
  4920.989 	     -0.030
  4921.803 	     -0.045
  4922.616 	     -0.049
  4923.429 	     -0.028
  4924.243 	     -0.016
  4925.057 	      0.002
  4925.870 	      0.022
  4926.684 	      0.035
  4927.498 	      0.037
  4928.313 	      0.041
  4929.127 	      0.058
  4929.941 	      0.080
  4930.756 	      0.080
  4931.571 	      0.053
  4932.386 	      0.042
  4933.201 	      0.030
  4934.016 	      0.036
  4934.831 	      0.028
  4935.647 	      0.001
  4936.462 	     -0.018
  4937.278 	     -0.000
  4938.094 	      0.026
  4938.910 	      0.050
  4939.726 	      0.026
  4940.542 	      0.018
  4941.359 	      0.003
  4942.175 	      0.006
  4942.992 	      0.021
  4943.809 	      0.028
  4944.625 	      0.027
  4945.443 	      0.035
  4946.260 	      0.041
  4947.077 	      0.025
  4947.895 	      0.035
  4948.712 	      0.018
  4949.530 	      0.014
  4950.348 	      0.021
  4951.166 	      0.018
  4951.984 	      0.017
  4952.802 	      0.037
  4953.621 	      0.004
  4954.439 	     -0.013
  4955.258 	      0.020
  4956.077 	      0.036
  4956.896 	      0.019
  4957.715 	      0.012
  4958.534 	      0.036
  4959.353 	      0.036
  4960.173 	     -0.016
  4960.992 	     -0.012
  4961.812 	      0.007
  4962.632 	     -0.009
  4963.452 	     -0.009
  4964.272 	      0.003
  4965.093 	      0.010
  4965.913 	      0.016
  4966.734 	      0.031
