WV      	 Sigma   
4777.578	    0.034
4778.368	    0.100
4779.157	    0.134
4779.947	    0.152
4780.737	    0.154
4781.527	    0.140
4782.317	    0.097
4783.107	    0.029
4783.897	    0.065
4784.688	    0.133
4785.479	    0.160
4786.269	    0.091
4787.060	    0.034
4787.851	    0.068
4788.642	    0.123
4789.434	    0.138
4790.225	    0.125
4791.017	    0.103
4791.808	    0.029
4792.600	    0.107
4793.392	    0.128
4794.184	    0.088
4794.976	    0.084
4795.769	    0.115
4796.561	    0.106
4797.354	    0.072
4798.146	    0.081
4798.939	    0.084
4799.732	    0.070
4800.525	    0.056
4801.319	    0.100
4802.112	    0.125
4802.906	    0.074
4803.699	    0.151
4804.493	    0.121
4805.287	    0.100
4806.081	    0.086
4806.875	    0.024
4807.669	    0.084
4808.464	    0.051
4809.258	    0.048
4810.053	    0.038
4810.848	    0.072
4811.643	    0.103
4812.438	    0.116
4813.233	    0.128
4814.028	    0.149
4814.824	    0.155
4815.620	    0.072
4816.415	    0.093
4817.211	    0.045
4818.007	    0.051
4818.803	    0.079
4819.600	    0.094
4820.396	    0.137
4821.192	    0.070
4821.989	    0.156
4822.786	    0.135
4823.583	    0.072
4824.380	    0.059
4825.177	    0.053
4825.974	    0.048
4826.772	    0.072
4827.569	    0.056
4828.367	    0.017
4829.165	    0.061
4829.963	    0.048
4830.761	    0.059
4831.559	    0.079
4832.358	    0.017
4833.156	    0.088
4833.955	    0.139
4834.754	    0.106
4835.553	    0.065
4836.352	    0.059
4837.151	    0.117
4837.950	    0.166
4838.750	    0.142
4839.549	    0.135
4840.349	    0.150
4841.149	    0.129
4841.949	    0.099
4842.749	    0.079
4843.549	    0.094
4844.349	    0.135
4845.150	    0.143
4845.950	    0.123
4846.751	    0.139
4847.552	    0.126
4848.353	    0.107
4849.154	    0.104
4849.955	    0.111
4850.757	    0.076
4851.558	    0.088
4852.360	    0.065
4853.162	    0.108
4853.964	    0.138
4854.766	    0.115
4855.568	    0.061
4856.370	    0.135
4857.173	    0.051
4857.976	    0.074
4858.778	    0.115
4859.581	    0.122
4860.384	    0.063
4861.187	    0.104
4861.991	    0.140
4862.794	    0.132
4863.598	    0.034
4864.401	    0.101
4865.205	    0.051
4866.009	    0.132
4866.813	    0.141
4867.617	    0.134
4868.422	    0.131
4869.226	    0.122
4870.031	    0.024
4870.835	    0.063
4871.640	    0.074
4872.445	    0.140
4873.250	    0.140
4874.056	    0.135
4874.861	    0.155
4875.667	    0.166
4876.472	    0.134
4877.278	    0.206
4878.084	    0.168
4878.890	    0.099
4879.696	    0.048
4880.503	    0.079
4881.309	    0.126
4882.116	    0.154
4882.922	    0.139
4883.729	    0.097
4884.536	    0.113
4885.343	    0.074
4886.151	    0.096
4886.958	    0.097
4887.766	    0.119
4888.573	    0.180
4889.381	    0.171
4890.189	    0.121
4890.997	    0.101
4891.805	    0.045
4892.613	    0.038
4893.422	    0.024
4894.231	    0.108
4895.039	    0.131
4895.848	    0.072
4896.657	    0.097
4897.466	    0.051
4898.276	    0.124
4899.085	    0.161
4899.894	    0.153
4900.704	    0.134
4901.514	    0.117
4902.324	    0.061
4903.134	    0.118
4903.944	    0.182
4904.754	    0.191
4905.565	    0.192
4906.376	    0.215
4907.186	    0.234
4907.997	    0.243
4908.808	    0.253
4909.619	    0.281
4910.431	    0.323
4911.242	    0.382
4912.054	    0.434
4912.865	    0.470
4913.677	    0.477
4914.489	    0.460
4915.301	    0.433
4916.113	    0.402
4916.926	    0.346
4917.738	    0.248
4918.551	    0.149
4919.363	    0.093
4920.176	    0.096
4920.989	    0.104
4921.803	    0.084
4922.616	    0.017
4923.429	    0.029
4924.243	    0.063
4925.057	    0.034
4925.870	    0.034
4926.684	    0.017
4927.498	    0.065
4928.313	    0.107
4929.127	    0.115
4929.941	    0.038
4930.756	    0.124
4931.571	    0.112
4932.386	    0.061
4933.201	    0.065
4934.016	    0.061
4934.831	    0.076
4935.647	    0.099
4936.462	    0.161
4937.278	    0.136
4938.094	    0.166
4938.910	    0.161
4939.726	    0.118
4940.542	    0.107
4941.359	    0.146
4942.175	    0.148
4942.992	    0.096
4943.809	    0.065
4944.625	    0.074
4945.443	    0.132
4946.260	    0.139
4947.077	    0.106
4947.895	    0.088
4948.712	    0.106
4949.530	    0.059
4950.348	    0.034
4951.166	    0.024
4951.984	    0.029
4952.802	    0.081
4953.621	    0.100
4954.439	    0.063
4955.258	    0.108
4956.077	    0.084
4956.896	    0.079
4957.715	    0.079
4958.534	    0.100
4959.353	    0.103
4960.173	    0.097
4960.992	    0.162
4961.812	    0.141
4962.632	    0.077
4963.452	    0.083
4964.272	    0.117
4965.093	    0.081
4965.913	    0.072
4966.734	    0.034
4967.554	    0.053
4968.375	    0.056
4969.196	    0.123
4970.017	    0.101
4970.838	    0.034
4971.660	    0.081
4972.481	    0.125
4973.303	    0.110
4974.125	    0.029
4974.947	    0.029
4975.769	    0.111
4976.591	    0.061
4977.413	    0.122
4978.236	    0.107
4979.058	    0.029
4979.881	    0.034
4980.704	    0.041
4981.527	    0.029
4982.350	    0.097
4983.174	    0.128
4983.997	    0.088
4984.821	    0.112
4985.644	    0.111
4986.468	    0.118
4987.292	    0.112
4988.116	    0.065
4988.940	    0.059
4989.765	    0.038
4990.589	    0.083
4991.414	    0.130
4992.239	    0.086
4993.064	    0.088
4993.889	    0.119
4994.714	    0.084
4995.539	    0.038
4996.365	    0.048
4997.190	    0.017
4998.016	    0.070
4998.842	    0.103
4999.668	    0.099
5000.494	    0.051
5001.320	    0.076
5002.147	    0.017
5002.973	    0.017
5003.800	    0.086
5004.627	    0.097
5005.454	    0.038
5006.281	    0.059
5007.108	    0.079
5007.936	    0.093
5008.763	    0.048
5009.591	    0.115
5010.419	    0.091
5011.247	    0.038
5012.075	    0.061
5012.903	    0.076
5013.731	    0.034
5014.560	    0.077
5015.388	    0.017
5016.217	    0.119
5017.046	    0.141
5017.875	    0.117
5018.704	    0.122
5019.533	    0.145
5020.363	    0.154
5021.192	    0.149
5022.022	    0.139
5022.852	    0.112
5023.682	    0.100
5024.512	    0.112
5025.342	    0.076
5026.173	    0.119
5027.003	    0.099
5027.834	    0.048
5028.665	    0.068
5029.496	    0.068
5030.327	    0.089
5031.158	    0.056
5031.989	    0.101
5032.821	    0.048
5033.653	    0.017
5034.484	    0.086
5035.316	    0.116
5036.148	    0.103
5036.980	    0.081
5037.813	    0.079
5038.645	    0.056
5039.478	    0.029
5040.311	    0.135
5041.143	    0.147
5041.976	    0.182
5042.810	    0.174
5043.643	    0.113
5044.476	    0.146
5045.310	    0.156
5046.144	    0.151
5046.977	    0.169
5047.811	    0.174
5048.645	    0.126
5049.480	    0.113
5050.314	    0.129
5051.149	    0.166
5051.983	    0.159
5052.818	    0.081
5053.653	    0.076
5054.488	    0.129
5055.323	    0.131
5056.159	    0.070
5056.994	    0.077
5057.830	    0.108
5058.666	    0.169
5059.501	    0.239
5060.337	    0.197
5061.174	    0.167
5062.010	    0.166
5062.846	    0.118
5063.683	    0.065
5064.520	    0.045
5065.357	    0.117
5066.194	    0.152
5067.031	    0.125
5067.868	    0.088
5068.706	    0.093
5069.543	    0.070
5070.381	    0.107
5071.219	    0.122
5072.057	    0.129
5072.895	    0.142
5073.733	    0.155
5074.571	    0.156
5075.410	    0.154
5076.249	    0.155
5077.087	    0.138
5077.926	    0.147
5078.765	    0.176
5079.605	    0.181
5080.444	    0.175
5081.283	    0.160
5082.123	    0.146
5082.963	    0.166
5083.803	    0.193
5084.643	    0.196
5085.483	    0.160
5086.323	    0.070
5087.164	    0.097
5088.004	    0.124
5088.845	    0.076
5089.686	    0.070
5090.527	    0.083
5091.368	    0.093
5092.210	    0.079
5093.051	    0.065
5093.893	    0.116
5094.734	    0.100
5095.576	    0.083
5096.418	    0.172
5097.260	    0.200
5098.103	    0.166
5098.945	    0.115
5099.788	    0.099
5100.630	    0.065
5101.473	    0.065
5102.316	    0.096
5103.159	    0.101
5104.003	    0.103
5104.846	    0.117
5105.689	    0.125
5106.533	    0.131
5107.377	    0.139
5108.221	    0.153
5109.065	    0.190
5109.909	    0.199
5110.754	    0.156
