WV      	 Sigma   
4523.292	    0.012
4524.103	    0.038
4524.916	    0.041
4525.728	    0.012
4526.540	    0.044
4527.353	    0.062
4528.165	    0.063
4528.978	    0.024
4529.791	    0.061
4530.604	    0.068
4531.417	    0.059
4532.231	    0.028
4533.044	    0.040
4533.858	    0.045
4534.672	    0.035
4535.486	    0.006
4536.300	    0.031
4537.114	    0.014
4537.928	    0.019
4538.743	    0.021
4539.558	    0.013
4540.372	    0.020
4541.187	    0.028
4542.002	    0.040
4542.818	    0.045
4543.633	    0.037
4544.449	    0.008
4545.264	    0.047
4546.080	    0.038
4546.896	    0.032
4547.712	    0.051
4548.529	    0.050
4549.345	    0.028
4550.162	    0.008
4550.979	    0.027
4551.795	    0.030
4552.612	    0.023
4553.430	    0.008
4554.247	    0.023
4555.064	    0.038
4555.882	    0.042
4556.700	    0.039
4557.518	    0.032
4558.336	    0.029
4559.154	    0.032
4559.972	    0.022
4560.791	    0.022
4561.609	    0.013
4562.428	    0.023
4563.247	    0.043
4564.066	    0.048
4564.885	    0.047
4565.705	    0.043
4566.524	    0.038
4567.344	    0.032
4568.164	    0.034
4568.984	    0.042
4569.804	    0.050
4570.624	    0.056
4571.445	    0.051
4572.265	    0.031
4573.086	    0.028
4573.907	    0.043
4574.728	    0.056
4575.549	    0.058
4576.370	    0.020
4577.192	    0.017
4578.013	    0.024
4578.835	    0.047
4579.657	    0.060
4580.479	    0.061
4581.301	    0.057
4582.123	    0.050
4582.946	    0.034
4583.768	    0.022
4584.591	    0.048
4585.414	    0.045
4586.237	    0.030
4587.060	    0.034
4587.884	    0.051
4588.707	    0.065
4589.531	    0.061
4590.355	    0.037
4591.179	    0.023
4592.003	    0.043
4592.827	    0.050
4593.651	    0.053
4594.476	    0.054
4595.301	    0.049
4596.125	    0.040
4596.950	    0.026
4597.776	    0.008
4598.601	    0.008
4599.426	    0.036
4600.252	    0.047
4601.078	    0.049
4601.903	    0.041
4602.730	    0.026
4603.556	    0.010
4604.382	    0.018
4605.208	    0.034
4606.035	    0.045
4606.862	    0.049
4607.689	    0.037
4608.516	    0.021
4609.343	    0.023
4610.170	    0.026
4610.998	    0.019
4611.826	    0.033
4612.653	    0.062
4613.481	    0.074
4614.309	    0.071
4615.138	    0.054
4615.966	    0.006
4616.795	    0.039
4617.623	    0.013
4618.452	    0.043
4619.281	    0.053
4620.110	    0.054
4620.940	    0.052
4621.769	    0.048
4622.599	    0.043
4623.428	    0.035
4624.258	    0.026
4625.088	    0.018
4625.918	    0.014
4626.749	    0.008
4627.579	    0.016
4628.410	    0.032
4629.241	    0.045
4630.072	    0.052
4630.903	    0.036
4631.734	    0.023
4632.565	    0.013
4633.397	    0.042
4634.229	    0.055
4635.060	    0.049
4635.892	    0.028
4636.724	    0.041
4637.557	    0.055
4638.389	    0.056
4639.222	    0.045
4640.054	    0.023
4640.887	    0.035
4641.720	    0.044
4642.553	    0.042
4643.387	    0.034
4644.220	    0.030
4645.054	    0.051
4645.888	    0.070
4646.722	    0.074
4647.556	    0.067
4648.390	    0.048
4649.224	    0.020
4650.059	    0.041
4650.893	    0.020
4651.728	    0.043
4652.563	    0.044
4653.398	    0.032
4654.234	    0.006
4655.069	    0.019
4655.905	    0.039
4656.740	    0.048
4657.576	    0.051
4658.412	    0.046
4659.248	    0.031
4660.085	    0.036
4660.921	    0.052
4661.758	    0.045
4662.594	    0.012
4663.431	    0.049
4664.268	    0.055
4665.106	    0.010
4665.943	    0.042
4666.781	    0.044
4667.618	    0.032
4668.456	    0.020
4669.294	    0.042
4670.132	    0.056
4670.970	    0.055
4671.809	    0.045
4672.647	    0.027
4673.486	    0.008
4674.325	    0.024
4675.164	    0.046
4676.003	    0.040
4676.843	    0.025
4677.682	    0.021
4678.522	    0.039
4679.361	    0.055
4680.201	    0.048
4681.041	    0.025
4681.882	    0.008
4682.722	    0.012
4683.563	    0.035
4684.403	    0.057
4685.244	    0.058
4686.085	    0.032
4686.926	    0.050
4687.767	    0.037
4688.609	    0.041
4689.450	    0.014
4690.292	    0.056
4691.134	    0.036
4691.976	    0.036
4692.818	    0.043
4693.661	    0.049
4694.503	    0.048
4695.346	    0.032
4696.189	    0.017
4697.032	    0.034
4697.875	    0.040
4698.718	    0.022
4699.561	    0.047
4700.405	    0.020
4701.249	    0.021
4702.092	    0.034
4702.936	    0.032
4703.781	    0.020
4704.625	    0.029
4705.469	    0.040
4706.314	    0.030
4707.159	    0.008
4708.004	    0.027
4708.849	    0.045
4709.694	    0.049
4710.539	    0.019
4711.385	    0.012
4712.231	    0.020
4713.076	    0.027
4713.922	    0.038
4714.768	    0.046
4715.615	    0.006
4716.461	    0.059
4717.308	    0.044
4718.154	    0.018
4719.001	    0.032
4719.848	    0.046
4720.696	    0.056
4721.543	    0.013
4722.390	    0.032
4723.238	    0.024
4724.086	    0.026
4724.934	    0.028
4725.782	    0.028
4726.630	    0.048
4727.479	    0.030
4728.327	    0.027
4729.176	    0.039
4730.025	    0.036
4730.874	    0.020
4731.723	    0.018
4732.572	    0.054
4733.422	    0.058
4734.271	    0.043
4735.121	    0.014
4735.971	    0.020
4736.821	    0.057
4737.671	    0.069
4738.522	    0.061
4739.372	    0.010
4740.223	    0.016
4741.074	    0.046
4741.925	    0.030
4742.776	    0.043
4743.627	    0.033
4744.479	    0.031
4745.330	    0.041
4746.182	    0.041
4747.034	    0.016
4747.886	    0.030
4748.738	    0.040
4749.591	    0.030
4750.443	    0.017
4751.296	    0.048
4752.149	    0.063
4753.002	    0.028
4753.855	    0.032
4754.708	    0.032
4755.562	    0.017
4756.415	    0.018
4757.269	    0.031
4758.123	    0.028
4758.977	    0.044
4759.831	    0.026
4760.686	    0.025
4761.540	    0.029
4762.395	    0.031
4763.250	    0.006
4764.105	    0.019
4764.960	    0.033
4765.815	    0.031
4766.671	    0.012
4767.526	    0.017
4768.382	    0.024
4769.238	    0.008
4770.094	    0.048
4770.950	    0.055
4771.807	    0.040
4772.663	    0.036
4773.520	    0.026
4774.377	    0.048
4775.234	    0.042
4776.091	    0.034
4776.948	    0.041
4777.805	    0.045
4778.663	    0.034
4779.521	    0.038
4780.379	    0.056
4781.237	    0.049
4782.095	    0.028
4782.953	    0.034
4783.812	    0.014
4784.670	    0.042
4785.529	    0.055
4786.388	    0.049
4787.247	    0.010
4788.107	    0.053
4788.966	    0.012
4789.826	    0.044
4790.686	    0.032
4791.545	    0.032
4792.405	    0.046
4793.266	    0.036
4794.126	    0.048
4794.987	    0.036
4795.847	    0.036
4796.708	    0.033
4797.569	    0.034
4798.430	    0.040
4799.292	    0.042
4800.153	    0.034
4801.015	    0.020
4801.876	    0.022
4802.738	    0.050
4803.600	    0.049
4804.463	    0.059
4805.325	    0.064
4806.188	    0.033
4807.050	    0.037
4807.913	    0.026
4808.776	    0.024
4809.639	    0.047
4810.503	    0.023
4811.366	    0.014
4812.230	    0.030
4813.093	    0.029
4813.957	    0.031
4814.821	    0.021
4815.686	    0.054
4816.550	    0.049
4817.415	    0.032
4818.279	    0.053
4819.144	    0.021
4820.009	    0.044
4820.874	    0.043
4821.740	    0.032
4822.605	    0.017
4823.471	    0.031
4824.337	    0.033
4825.203	    0.060
4826.069	    0.047
4826.935	    0.030
4827.801	    0.051
4828.668	    0.043
4829.535	    0.043
4830.401	    0.055
4831.269	    0.037
4832.136	    0.030
4833.003	    0.040
4833.871	    0.024
4834.738	    0.027
4835.606	    0.027
4836.474	    0.031
4837.342	    0.037
4838.210	    0.010
4839.079	    0.046
4839.947	    0.036
4840.816	    0.028
4841.685	    0.026
4842.554	    0.048
4843.423	    0.041
4844.293	    0.035
4845.162	    0.023
4846.032	    0.024
4846.902	    0.036
4847.772	    0.054
4848.642	    0.051
4849.512	    0.026
4850.383	    0.016
4851.253	    0.031
4852.124	    0.014
4852.995	    0.035
4853.866	    0.036
4854.737	    0.035
4855.609	    0.034
4856.480	    0.031
4857.352	    0.037
4858.224	    0.048
4859.096	    0.047
4859.968	    0.041
4860.841	    0.033
4861.713	    0.037
4862.586	    0.055
4863.459	    0.054
4864.332	    0.035
4865.205	    0.013
4866.078	    0.053
4866.951	    0.080
4867.825	    0.078
4868.699	    0.008
4869.573	    0.062
4870.447	    0.048
4871.321	    0.055
4872.195	    0.053
4873.070	    0.020
4873.945	    0.017
4874.819	    0.019
4875.694	    0.024
4876.570	    0.020
4877.445	    0.049
4878.320	    0.055
4879.196	    0.057
4880.072	    0.059
4880.948	    0.041
4881.824	    0.038
4882.700	    0.052
4883.577	    0.028
4884.453	    0.034
4885.330	    0.044
4886.207	    0.032
4887.084	    0.025
4887.961	    0.038
4888.838	    0.043
4889.716	    0.046
4890.594	    0.026
4891.472	    0.048
4892.350	    0.038
4893.228	    0.021
4894.106	    0.035
4894.984	    0.028
4895.863	    0.006
4896.742	    0.041
4897.621	    0.051
4898.500	    0.063
4899.379	    0.063
4900.259	    0.049
4901.138	    0.045
4902.018	    0.026
4902.898	    0.048
4903.778	    0.077
4904.658	    0.138
4905.538	    0.196
4906.419	    0.229
4907.300	    0.233
4908.180	    0.220
4909.061	    0.182
4909.943	    0.121
4910.824	    0.085
4911.705	    0.069
4912.587	    0.058
4913.469	    0.031
4914.351	    0.040
4915.233	    0.037
4916.115	    0.040
4916.998	    0.064
4917.880	    0.060
4918.763	    0.056
4919.646	    0.049
4920.529	    0.036
4921.412	    0.016
4922.295	    0.046
4923.179	    0.032
4924.063	    0.045
4924.947	    0.037
4925.831	    0.068
4926.715	    0.071
4927.599	    0.070
4928.484	    0.074
4929.368	    0.045
4930.253	    0.054
4931.138	    0.057
4932.023	    0.048
4932.908	    0.030
4933.794	    0.013
4934.679	    0.043
4935.565	    0.067
4936.451	    0.064
4937.337	    0.048
4938.223	    0.041
4939.110	    0.033
4939.996	    0.023
4940.883	    0.036
4941.770	    0.045
4942.657	    0.044
4943.544	    0.046
4944.431	    0.030
4945.319	    0.079
4946.207	    0.065
4947.094	    0.052
4947.982	    0.053
4948.871	    0.049
4949.759	    0.043
4950.647	    0.038
4951.536	    0.039
4952.425	    0.078
4953.314	    0.053
4954.203	    0.038
4955.092	    0.058
4955.981	    0.063
4956.871	    0.051
4957.761	    0.006
4958.651	    0.044
4959.541	    0.039
4960.431	    0.060
4961.321	    0.033
4962.212	    0.052
4963.103	    0.052
4963.993	    0.039
4964.884	    0.037
4965.776	    0.051
4966.667	    0.049
4967.558	    0.052
4968.450	    0.037
4969.342	    0.039
4970.234	    0.033
4971.126	    0.024
4972.018	    0.047
4972.911	    0.036
4973.803	    0.047
4974.696	    0.063
4975.589	    0.053
4976.482	    0.055
4977.375	    0.023
4978.269	    0.040
4979.162	    0.012
4980.056	    0.048
4980.950	    0.049
4981.844	    0.043
4982.738	    0.052
4983.633	    0.062
4984.527	    0.064
4985.422	    0.051
4986.317	    0.031
4987.212	    0.042
4988.107	    0.049
4989.002	    0.029
4989.898	    0.012
4990.794	    0.052
4991.689	    0.059
4992.585	    0.026
4993.482	    0.033
4994.378	    0.006
4995.274	    0.016
4996.171	    0.019
4997.068	    0.037
4997.965	    0.044
4998.862	    0.014
4999.759	    0.039
5000.657	    0.044
5001.554	    0.061
5002.452	    0.043
5003.350	    0.036
5004.248	    0.017
5005.146	    0.046
5006.045	    0.058
5006.943	    0.047
5007.842	    0.038
5008.741	    0.047
5009.640	    0.052
5010.539	    0.018
5011.438	    0.038
5012.338	    0.056
5013.238	    0.057
5014.137	    0.055
5015.037	    0.061
5015.938	    0.061
5016.838	    0.061
5017.738	    0.012
5018.639	    0.047
5019.540	    0.063
5020.441	    0.050
5021.342	    0.029
5022.243	    0.026
5023.145	    0.019
5024.046	    0.046
5024.948	    0.043
5025.850	    0.049
5026.752	    0.035
5027.655	    0.029
5028.557	    0.016
5029.460	    0.037
5030.362	    0.053
5031.265	    0.052
5032.168	    0.061
5033.072	    0.034
5033.975	    0.072
5034.879	    0.018
5035.782	    0.033
5036.686	    0.025
5037.590	    0.039
5038.495	    0.041
5039.399	    0.012
5040.304	    0.037
5041.208	    0.049
5042.113	    0.040
5043.018	    0.044
5043.923	    0.057
5044.829	    0.058
5045.734	    0.035
5046.640	    0.051
5047.546	    0.065
5048.452	    0.044
5049.358	    0.022
5050.264	    0.040
5051.171	    0.040
5052.078	    0.070
5052.984	    0.099
5053.891	    0.105
5054.799	    0.094
5055.706	    0.078
5056.613	    0.056
5057.521	    0.013
5058.429	    0.029
5059.337	    0.041
5060.245	    0.028
5061.153	    0.006
5062.062	    0.035
5062.970	    0.036
5063.879	    0.008
5064.788	    0.008
5065.697	    0.032
5066.606	    0.039
5067.516	    0.043
5068.425	    0.055
5069.335	    0.058
5070.245	    0.050
5071.155	    0.047
5072.065	    0.048
5072.976	    0.053
5073.886	    0.041
5074.797	    0.042
5075.708	    0.057
5076.619	    0.051
5077.530	    0.012
5078.442	    0.017
5079.353	    0.044
5080.265	    0.017
5081.177	    0.051
5082.089	    0.044
5083.001	    0.008
5083.914	    0.024
5084.826	    0.018
5085.739	    0.028
5086.652	    0.035
5087.565	    0.045
5088.478	    0.059
5089.391	    0.080
5090.305	    0.056
5091.219	    0.026
5092.132	    0.049
5093.046	    0.006
5093.961	    0.040
5094.875	    0.030
5095.789	    0.029
5096.704	    0.034
5097.619	    0.033
5098.534	    0.014
5099.449	    0.018
5100.364	    0.008
5101.280	    0.056
5102.196	    0.047
5103.111	    0.020
5104.027	    0.046
5104.944	    0.032
5105.860	    0.045
5106.776	    0.052
5107.693	    0.047
5108.610	    0.020
5109.527	    0.012
5110.444	    0.028
5111.361	    0.026
5112.279	    0.025
5113.196	    0.021
5114.114	    0.018
5115.032	    0.021
5115.950	    0.042
5116.868	    0.037
5117.787	    0.014
5118.706	    0.036
5119.624	    0.028
5120.543	    0.026
5121.462	    0.055
5122.382	    0.020
5123.301	    0.054
5124.221	    0.047
5125.141	    0.013
5126.060	    0.021
5126.981	    0.034
5127.901	    0.028
5128.821	    0.043
5129.742	    0.023
5130.663	    0.052
5131.584	    0.052
5132.505	    0.031
5133.426	    0.031
5134.347	    0.026
5135.269	    0.044
5136.191	    0.068
5137.113	    0.037
5138.035	    0.037
5138.957	    0.035
5139.879	    0.010
5140.802	    0.048
5141.725	    0.044
5142.648	    0.033
5143.571	    0.023
5144.494	    0.025
5145.417	    0.026
5146.341	    0.053
5147.265	    0.053
5148.189	    0.022
5149.113	    0.031
5150.037	    0.053
5150.961	    0.016
5151.886	    0.016
5152.811	    0.039
5153.736	    0.040
5154.661	    0.055
5155.586	    0.057
5156.511	    0.062
5157.437	    0.044
5158.363	    0.026
5159.289	    0.014
5160.215	    0.006
5161.141	    0.020
5162.067	    0.014
5162.994	    0.055
5163.921	    0.033
5164.848	    0.020
5165.775	    0.043
5166.702	    0.033
5167.629	    0.032
5168.557	    0.036
5169.485	    0.025
5170.412	    0.031
5171.341	    0.035
5172.269	    0.026
5173.197	    0.059
5174.126	    0.070
5175.054	    0.065
5175.983	    0.063
5176.912	    0.053
5177.842	    0.046
5178.771	    0.036
5179.701	    0.030
5180.630	    0.014
5181.560	    0.018
5182.490	    0.024
5183.421	    0.043
