WV      	 Sigma   
4516.132	    0.075
4516.943	    0.232
4517.755	    0.266
4518.567	    0.249
4519.379	    0.188
4520.191	    0.119
4521.003	    0.216
4521.815	    0.222
4522.627	    0.184
4523.440	    0.092
4524.253	    0.348
4525.065	    0.255
4525.878	    0.342
4526.692	    0.399
4527.505	    0.406
4528.318	    0.370
4529.132	    0.125
4529.946	    0.188
4530.759	    0.038
4531.573	    0.146
4532.388	    0.325
4533.202	    0.289
4534.016	    0.293
4534.831	    0.317
4535.646	    0.286
4536.461	    0.053
4537.276	    0.092
4538.091	    0.092
4538.906	    0.092
4539.722	    0.192
4540.537	    0.276
4541.353	    0.202
4542.169	    0.092
4542.985	    0.053
4543.801	    0.065
4544.618	    0.168
4545.434	    0.308
4546.251	    0.195
4547.068	    0.202
4547.885	    0.216
4548.702	    0.164
4549.519	    0.209
4550.336	    0.279
4551.154	    0.192
4551.972	    0.184
4552.789	    0.225
4553.607	    0.268
4554.425	    0.184
4555.244	    0.084
4556.062	    0.038
4556.881	    0.155
4557.699	    0.249
4558.518	    0.268
4559.337	    0.159
4560.156	    0.225
4560.976	    0.246
4561.795	    0.199
4562.615	    0.146
4563.435	    0.180
4564.254	    0.184
4565.074	    0.235
4565.895	    0.263
4566.715	    0.235
4567.535	    0.155
4568.356	    0.255
4569.177	    0.084
4569.998	    0.312
4570.819	    0.441
4571.640	    0.440
4572.461	    0.321
4573.283	    0.401
4574.105	    0.443
4574.926	    0.425
4575.748	    0.323
4576.570	    0.387
4577.393	    0.284
4578.215	    0.255
4579.038	    0.263
4579.860	    0.281
4580.683	    0.296
4581.506	    0.258
4582.329	    0.084
4583.153	    0.141
4583.976	    0.155
4584.800	    0.263
4585.623	    0.146
4586.447	    0.232
4587.271	    0.188
4588.095	    0.199
4588.920	    0.260
4589.744	    0.092
4590.569	    0.184
4591.394	    0.252
4592.219	    0.241
4593.044	    0.244
4593.869	    0.342
4594.694	    0.238
4595.520	    0.284
4596.345	    0.321
4597.171	    0.336
4597.997	    0.332
4598.823	    0.334
4599.649	    0.281
4600.476	    0.352
4601.302	    0.303
4602.129	    0.213
4602.956	    0.235
4603.783	    0.296
4604.610	    0.332
4605.437	    0.281
4606.265	    0.199
4607.092	    0.092
4607.920	    0.106
4608.748	    0.099
4609.576	    0.119
4610.404	    0.172
4611.232	    0.312
4612.061	    0.396
4612.890	    0.376
4613.718	    0.244
4614.547	    0.172
4615.376	    0.195
4616.206	    0.113
4617.035	    0.274
4617.864	    0.305
4618.694	    0.310
4619.524	    0.238
4620.354	    0.125
4621.184	    0.125
4622.014	    0.176
4622.845	    0.232
4623.675	    0.092
4624.506	    0.065
4625.337	    0.125
4626.168	    0.135
4626.999	    0.141
4627.830	    0.338
4628.662	    0.312
4629.493	    0.238
4630.325	    0.213
4631.157	    0.301
4631.989	    0.119
4632.821	    0.366
4633.654	    0.350
4634.486	    0.255
4635.319	    0.180
4636.152	    0.303
4636.985	    0.408
4637.818	    0.385
4638.651	    0.427
4639.484	    0.354
4640.318	    0.092
4641.152	    0.229
4641.985	    0.293
4642.819	    0.342
4643.654	    0.279
4644.488	    0.246
4645.322	    0.296
4646.157	    0.119
4646.992	    0.249
4647.827	    0.328
4648.662	    0.405
4649.497	    0.435
4650.332	    0.406
4651.168	    0.398
4652.003	    0.229
4652.839	    0.229
4653.675	    0.092
4654.511	    0.038
4655.347	    0.038
4656.184	    0.119
4657.020	    0.106
4657.857	    0.216
4658.694	    0.199
4659.531	    0.092
4660.368	    0.065
4661.205	    0.184
4662.043	    0.249
4662.881	    0.176
4663.718	    0.150
4664.556	    0.213
4665.394	    0.276
4666.232	    0.266
4667.071	    0.216
4667.909	    0.113
4668.748	    0.168
4669.587	    0.065
4670.426	    0.235
4671.265	    0.323
4672.104	    0.370
4672.944	    0.364
4673.783	    0.317
4674.623	    0.296
4675.463	    0.372
4676.303	    0.258
4677.143	    0.219
4677.983	    0.222
4678.824	    0.238
4679.664	    0.252
4680.505	    0.268
4681.346	    0.276
4682.187	    0.258
4683.028	    0.246
4683.870	    0.274
4684.711	    0.317
4685.553	    0.346
4686.395	    0.238
4687.237	    0.260
4688.079	    0.053
4688.921	    0.192
4689.764	    0.176
4690.606	    0.448
4691.449	    0.249
4692.292	    0.346
4693.135	    0.321
4693.978	    0.249
4694.821	    0.209
4695.665	    0.263
4696.508	    0.328
4697.352	    0.213
4698.196	    0.084
4699.040	    0.192
4699.885	    0.235
4700.729	    0.038
4701.574	    0.356
4702.418	    0.284
4703.263	    0.155
4704.108	    0.130
4704.953	    0.241
4705.799	    0.332
4706.644	    0.155
4707.490	    0.291
4708.335	    0.188
4709.181	    0.180
4710.027	    0.334
4710.874	    0.378
4711.720	    0.232
4712.567	    0.209
4713.413	    0.180
4714.260	    0.255
4715.107	    0.246
4715.954	    0.135
4716.802	    0.176
4717.649	    0.232
4718.497	    0.184
4719.344	    0.188
4720.192	    0.213
4721.040	    0.216
4721.888	    0.213
4722.737	    0.291
4723.585	    0.291
4724.434	    0.184
4725.283	    0.146
4726.132	    0.159
4726.981	    0.180
4727.830	    0.130
4728.680	    0.084
4729.529	    0.053
4730.379	    0.084
4731.229	    0.113
4732.079	    0.106
4732.929	    0.130
4733.779	    0.274
4734.630	    0.303
4735.480	    0.246
4736.331	    0.150
4737.182	    0.119
4738.033	    0.209
4738.885	    0.271
4739.736	    0.352
4740.588	    0.113
4741.439	    0.260
4742.291	    0.155
4743.143	    0.216
