wlen 	 newgal_spectrum 
  4538.743 	      0.053
  4539.558 	      0.081
  4540.372 	      0.075
  4541.187 	      0.028
  4542.002 	      0.021
  4542.818 	      0.048
  4543.633 	      0.064
  4544.449 	      0.051
  4545.264 	      0.001
  4546.080 	     -0.048
  4546.896 	     -0.053
  4547.712 	     -0.039
  4548.529 	     -0.017
  4549.345 	     -0.003
  4550.162 	      0.003
  4550.979 	     -0.003
  4551.795 	     -0.003
  4552.612 	      0.003
  4553.430 	      0.018
  4554.247 	      0.025
  4555.064 	      0.031
  4555.882 	      0.050
  4556.700 	      0.070
  4557.518 	      0.083
  4558.336 	      0.055
  4559.154 	      0.002
  4559.972 	     -0.030
  4560.791 	     -0.041
  4561.609 	     -0.029
  4562.428 	      0.002
  4563.247 	      0.011
  4564.066 	     -0.023
  4564.885 	     -0.050
  4565.705 	     -0.056
  4566.524 	     -0.030
  4567.344 	     -0.002
  4568.164 	     -0.018
  4568.984 	     -0.022
  4569.804 	     -0.004
  4570.624 	      0.033
  4571.445 	      0.051
  4572.265 	      0.004
  4573.086 	     -0.036
  4573.907 	     -0.055
  4574.728 	     -0.051
  4575.549 	     -0.029
  4576.370 	     -0.008
  4577.192 	      0.003
  4578.013 	      0.015
  4578.835 	      0.024
  4579.657 	      0.030
  4580.479 	      0.038
  4581.301 	      0.030
  4582.123 	      0.012
  4582.946 	     -0.002
  4583.768 	     -0.010
  4584.591 	     -0.013
  4585.414 	     -0.023
  4586.237 	     -0.039
  4587.060 	     -0.038
  4587.884 	     -0.024
  4588.707 	     -0.006
  4589.531 	     -0.036
  4590.355 	     -0.062
  4591.179 	     -0.064
  4592.003 	     -0.044
  4592.827 	     -0.016
  4593.651 	     -0.005
  4594.476 	     -0.019
  4595.301 	     -0.031
  4596.125 	     -0.038
  4596.950 	     -0.038
  4597.776 	     -0.032
  4598.601 	     -0.017
  4599.426 	     -0.001
  4600.252 	      0.006
  4601.078 	      0.008
  4601.903 	      0.008
  4602.730 	      0.014
  4603.556 	      0.031
  4604.382 	      0.041
  4605.208 	      0.044
  4606.035 	      0.039
  4606.862 	      0.023
  4607.689 	     -0.013
  4608.516 	     -0.037
  4609.343 	     -0.043
  4610.170 	     -0.041
  4610.998 	     -0.037
  4611.826 	     -0.039
  4612.653 	     -0.046
  4613.481 	     -0.047
  4614.309 	     -0.035
  4615.138 	     -0.015
  4615.966 	      0.005
  4616.795 	      0.010
  4617.623 	     -0.007
  4618.452 	     -0.016
  4619.281 	     -0.016
  4620.110 	     -0.011
  4620.940 	     -0.005
  4621.769 	      0.003
  4622.599 	      0.003
  4623.428 	     -0.000
  4624.258 	     -0.007
  4625.088 	     -0.012
  4625.918 	     -0.012
  4626.749 	     -0.008
  4627.579 	     -0.005
  4628.410 	     -0.016
  4629.241 	     -0.035
  4630.072 	     -0.051
  4630.903 	     -0.040
  4631.734 	     -0.014
  4632.565 	     -0.014
  4633.397 	     -0.021
  4634.229 	     -0.032
  4635.060 	     -0.044
  4635.892 	     -0.040
  4636.724 	     -0.050
  4637.557 	     -0.063
  4638.389 	     -0.067
  4639.222 	     -0.057
  4640.054 	     -0.030
  4640.887 	     -0.017
  4641.720 	     -0.026
  4642.553 	     -0.047
  4643.387 	     -0.064
  4644.220 	     -0.069
  4645.054 	     -0.051
  4645.888 	     -0.014
  4646.722 	      0.002
  4647.556 	     -0.001
  4648.390 	     -0.019
  4649.224 	     -0.045
  4650.059 	     -0.062
  4650.893 	     -0.046
  4651.728 	     -0.030
  4652.563 	     -0.021
  4653.398 	     -0.015
  4654.234 	     -0.009
  4655.069 	      0.002
  4655.905 	      0.014
  4656.740 	      0.024
  4657.576 	      0.028
  4658.412 	      0.028
  4659.248 	      0.025
  4660.085 	      0.012
  4660.921 	     -0.010
  4661.758 	     -0.025
  4662.594 	     -0.031
