wlen 	 newgal_spectrum 
  4452.491 	     -0.157
  4453.291 	     -0.071
  4454.091 	     -0.010
  4454.891 	     -0.053
  4455.691 	      0.103
  4456.492 	      0.116
  4457.293 	      0.118
  4458.093 	      0.101
  4458.894 	      0.054
  4459.695 	     -0.052
  4460.497 	     -0.032
  4461.298 	     -0.083
  4462.100 	     -0.162
  4462.901 	     -0.225
  4463.703 	     -0.107
  4464.505 	     -0.031
  4465.307 	     -0.010
  4466.109 	     -0.034
  4466.912 	     -0.088
  4467.714 	     -0.058
  4468.517 	     -0.015
  4469.320 	     -0.049
  4470.123 	     -0.122
  4470.926 	     -0.165
  4471.729 	     -0.236
  4472.533 	     -0.339
  4473.336 	     -0.377
  4474.140 	     -0.365
  4474.944 	     -0.352
  4475.748 	     -0.336
  4476.552 	     -0.323
  4477.356 	     -0.308
  4478.161 	     -0.291
  4478.965 	     -0.272
  4479.770 	     -0.253
  4480.575 	     -0.239
  4481.380 	     -0.230
  4482.185 	     -0.225
  4482.990 	     -0.222
  4483.796 	     -0.217
  4484.601 	     -0.211
  4485.407 	     -0.199
  4486.213 	     -0.183
  4487.019 	     -0.162
  4487.825 	     -0.142
  4488.631 	     -0.127
  4489.438 	     -0.118
  4490.244 	     -0.111
  4491.051 	     -0.105
  4491.858 	     -0.097
  4492.665 	     -0.090
  4493.472 	     -0.080
  4494.280 	     -0.069
  4495.087 	     -0.056
  4495.895 	     -0.040
  4496.702 	     -0.059
  4497.510 	     -0.051
  4498.318 	     -0.046
  4499.127 	     -0.130
  4499.935 	     -0.064
  4500.743 	     -0.031
  4501.552 	     -0.085
  4502.361 	     -0.160
  4503.170 	     -0.134
  4503.979 	     -0.053
  4504.788 	     -0.129
  4505.597 	     -0.136
  4506.407 	     -0.078
  4507.216 	      0.023
  4508.026 	     -0.005
  4508.836 	     -0.082
  4509.646 	     -0.135
  4510.456 	     -0.140
  4511.267 	     -0.079
  4512.077 	     -0.026
  4512.888 	     -0.061
  4513.699 	     -0.075
  4514.510 	     -0.051
  4515.321 	      0.013
  4516.132 	      0.006
  4516.943 	      0.011
  4517.755 	      0.014
  4518.567 	     -0.024
  4519.379 	     -0.099
  4520.191 	     -0.005
  4521.003 	     -0.003
  4521.815 	     -0.035
  4522.627 	     -0.070
  4523.440 	     -0.084
  4524.253 	      0.004
  4525.065 	      0.026
  4525.878 	      0.046
  4526.692 	      0.120
  4527.505 	      0.211
  4528.318 	      0.195
  4529.132 	      0.065
  4529.946 	      0.050
  4530.759 	     -0.046
  4531.573 	     -0.141
  4532.388 	     -0.071
  4533.202 	      0.030
  4534.016 	      0.086
  4534.831 	      0.101
  4535.646 	      0.047
  4536.461 	     -0.095
  4537.276 	     -0.231
  4538.091 	     -0.105
  4538.906 	     -0.065
  4539.722 	     -0.052
  4540.537 	     -0.049
  4541.353 	     -0.168
  4542.169 	     -0.186
  4542.985 	     -0.219
  4543.801 	     -0.168
  4544.618 	     -0.034
  4545.434 	      0.095
